Sample in Buffer,Sample in Window,TRIGGER,check_40G_sim_i/system_ila_1/inst/probe0_1[3:0],check_40G_sim_i/system_ila_1/inst/probe1_1[7:0],check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tkeep[15:0],check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tdata[63:0],check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tkeep[7:0],check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tuser[7:0],check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tkeep[15:0],check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tuser,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_3_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_3_axis_tkeep[15:0],check_40G_sim_i/system_ila_1/inst/net_slot_3_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_3_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_3_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_4_axis_tdata[47:0],check_40G_sim_i/system_ila_1/inst/net_slot_4_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_4_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_4_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_5_axis_tdata[31:0],check_40G_sim_i/system_ila_1/inst/net_slot_5_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_5_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_5_axis_tlast,Interface_(i2:s0)_(uplane_packetiser_0_eth_data1)[2:0],Interface_(i2:s1)_(axis_data_fifo_5_M_AXIS)[2:0],Interface_(i2:s2)_(ethernet_mux_0_eth_data_out)[2:0],Interface_(i2:s3)_(tkeep_cleaner_FAPI_0_master)[2:0],Interface_(i2:s4)_(Data_Gen_1_application_header)[2:0],Interface_(i2:s5)_(Data_Gen_1_section_header)[2:0],T_Channel_(i2:s0)_(uplane_packetiser_0_eth_data1)[2:0],T_Channel_(i2:s1)_(axis_data_fifo_5_M_AXIS)[2:0],T_Channel_(i2:s2)_(ethernet_mux_0_eth_data_out)[2:0],T_Channel_(i2:s3)_(tkeep_cleaner_FAPI_0_master)[2:0],T_Channel_(i2:s4)_(Data_Gen_1_application_header)[2:0],T_Channel_(i2:s5)_(Data_Gen_1_section_header)[2:0]
726,726,0,15,06,12000000000000000000000000000000,ffff,1,1,0,0000000003000000,ff,00,1,1,0,00000000000000000000000018000000,ffff,0,0,0,0,00000000000000000000000010000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
727,727,0,15,04,13000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000018000000,ffff,0,1,1,0,00000000000000000000000011000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
728,728,0,15,05,14000000000000000000000000000000,ffff,1,1,0,0000000004000000,0f,00,1,1,1,00000000000000000000000019000000,ffff,0,0,0,0,00000000000000000000000012000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Last Stream","_","Stream Beat","_","_"
729,729,0,15,06,15000000000000000000000000000000,ffff,1,1,0,1100ffffffffffff,ff,00,1,1,0,00000000000000000000000019000000,ffff,0,1,1,0,00000000000000000000000013000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
730,730,0,15,04,16000000000000000000000000000000,ffff,1,1,0,0100008155443322,ff,00,1,1,0,0000000000000000000000001a000000,ffff,0,0,0,0,00000000000000000000000014000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
731,731,0,15,05,17000000000000000000000000000000,ffff,1,1,0,0010a0050001feae,ff,00,1,1,0,0000000000000000000000001a000000,ffff,0,1,1,0,00000000000000000000000015000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
732,732,0,15,06,18000000000000000000000000000000,ffff,1,1,0,20008f710a090001,ff,00,1,1,0,0000000000000000000000001b000000,ffff,0,0,0,0,00000000000000000000000016000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
733,733,0,15,04,19000000000000000000000000000000,ffff,1,1,0,0000000000001e1e,ff,00,1,1,0,0000000000000000000000001b000000,ffff,0,1,1,0,00000000000000000000000017000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
734,734,0,15,05,1a000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,0,0,0000000000000000000000001c000000,ffff,0,0,0,0,00000000000000000000000018000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","_","_","Active","_","_","Stream Beat","_","_","Stream Beat","_","_"
735,735,0,15,06,1b000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,0000000000000000000000001c000000,ffff,0,1,1,0,00000000000000000000000019000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
736,736,0,15,04,1c000000000000000000000000000000,ffff,1,1,0,0000000005000000,ff,00,1,0,0,0000000000000000000000001d000000,ffff,0,0,0,0,0000000000000000000000001a000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","_","_","Active","_","_","Stream Beat","_","_","Stream Beat","_","_"
737,737,0,15,05,1d000000000000000000000000000000,ffff,1,1,0,0000000005000000,ff,00,1,1,0,0000000000000000000000001d000000,ffff,0,1,1,0,0000000000000000000000001b000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
738,738,0,15,06,1e000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,0000000000000000000000001e000000,ffff,0,0,0,0,0000000000000000000000001c000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
739,739,0,15,04,1f000000000000000000000000000000,ffff,1,1,0,0000000006000000,ff,00,1,1,0,0000000000000000000000001e000000,ffff,0,1,1,0,0000000000000000000000001d000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
740,740,0,15,05,20000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,0000000000000000000000001f000000,ffff,0,0,0,0,0000000000000000000000001e000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
741,741,0,15,06,21000000000000000000000000000000,ffff,1,1,0,0000000007000000,ff,00,1,1,0,0000000000000000000000001f000000,ffff,0,1,1,0,0000000000000000000000001f000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
742,742,0,15,04,22000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000020000000,ffff,0,0,0,0,00000000000000000000000020000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
743,743,0,15,05,23000000000000000000000000000000,ffff,1,1,0,0000000008000000,ff,00,1,1,0,00000000000000000000000020000000,ffff,0,1,1,0,00000000000000000000000021000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
744,744,0,15,06,24000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000021000000,ffff,0,0,0,0,00000000000000000000000022000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
745,745,0,15,04,25000000000000000000000000000000,ffff,1,1,0,0000000009000000,ff,00,1,1,0,00000000000000000000000021000000,ffff,0,1,1,0,00000000000000000000000023000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
746,746,0,15,05,26000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000022000000,ffff,0,0,0,0,00000000000000000000000024000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
747,747,0,15,06,27000000000000000000000000000000,ffff,1,1,0,000000000a000000,ff,00,1,1,0,00000000000000000000000022000000,ffff,0,1,1,0,00000000000000000000000025000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
748,748,0,15,04,28000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000023000000,ffff,0,0,0,0,00000000000000000000000026000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
749,749,0,15,05,29000000000000000000000000000000,ffff,1,1,0,000000000b000000,ff,00,1,1,0,00000000000000000000000023000000,ffff,0,1,1,0,00000000000000000000000027000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
750,750,0,15,06,2a000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000024000000,ffff,0,0,0,0,00000000000000000000000028000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
751,751,0,15,04,2b000000000000000000000000000000,ffff,1,1,0,000000000c000000,ff,00,1,1,0,00000000000000000000000024000000,ffff,0,1,1,0,00000000000000000000000029000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
752,752,0,15,05,2c000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000025000000,ffff,0,0,0,0,0000000000000000000000002a000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
753,753,0,15,06,2d000000000000000000000000000000,ffff,1,1,0,000000000d000000,ff,00,1,1,0,00000000000000000000000025000000,ffff,0,1,1,0,0000000000000000000000002b000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
754,754,0,15,04,2e000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000026000000,ffff,0,0,0,0,0000000000000000000000002c000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
755,755,0,15,05,2f000000000000000000000000000000,ffff,1,1,0,000000000e000000,ff,00,1,1,0,00000000000000000000000026000000,ffff,0,1,1,0,0000000000000000000000002d000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
756,756,0,15,06,30000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000027000000,ffff,0,0,0,0,0000000000000000000000002e000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
757,757,0,15,04,31000000000000000000000000000000,ffff,1,1,0,000000000f000000,ff,00,1,1,0,00000000000000000000000027000000,ffff,0,1,1,0,0000000000000000000000002f000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
758,758,0,15,05,32000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000028000000,ffff,0,0,0,0,00000000000000000000000030000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
759,759,0,15,06,33000000000000000000000000000000,ffff,1,1,0,0000000010000000,ff,00,1,1,0,00000000000000000000000028000000,ffff,0,1,1,0,00000000000000000000000031000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
760,760,0,15,04,34000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000029000000,ffff,0,0,0,0,00000000000000000000000032000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
761,761,0,15,05,35000000000000000000000000000000,ffff,1,1,0,0000000011000000,ff,00,1,1,0,00000000000000000000000029000000,ffff,0,1,1,0,00000000000000000000000033000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
762,762,0,15,06,36000000000000000000000000000000,ffff,1,1,1,0000000000000000,ff,00,1,1,0,0000000000000000000000002a000000,ffff,0,0,0,0,00000000000000000000000034000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Last Stream","Stream Beat","_","Stream Beat","_","_"
763,763,0,15,01,01000081554433221100ffffffffffff,ffff,0,0,0,0000000012000000,ff,00,1,1,0,0000000000000000000000002a000000,ffff,0,1,1,0,00000000000000000000000035000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"_","Active","Active","Active","_","_","_","Stream Beat","Stream Beat","Stream Beat","_","_"
764,764,0,15,01,01000081554433221100ffffffffffff,ffff,0,0,0,0000000000000000,ff,00,1,1,0,0000000000000000000000002b000000,ffff,0,0,0,0,00000000000000000000000036000000,000f,1,1,1,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"_","Active","_","Active","_","_","_","Stream Beat","_","Last Stream","_","_"
765,765,0,15,01,01000081554433221100ffffffffffff,ffff,1,1,0,0000000013000000,ff,00,1,1,0,0000000000000000000000002b000000,ffff,0,1,1,0,00000000000000000000000036000000,000f,0,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","_","_","_","Stream Beat","Stream Beat","Stream Beat","_","_","_"
766,766,0,15,02,0000000000000000000000000001feae,000f,1,1,0,0000000000000000,ff,00,1,1,0,0000000000000000000000002c000000,ffff,0,0,0,0,01000081554433221100ffffffffffff,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
767,767,0,15,03,00001eb470008f710a0900010010a005,ffff,1,1,0,0000000014000000,ff,00,1,1,0,0000000000000000000000002c000000,ffff,0,1,1,0,0000000000000000000000000001feae,000f,0,1,0,0000cb9cd900,0,1,0,3cb70a90,1,1,0,"Active","Active","Active","_","_","Active","Stream Beat","Stream Beat","Stream Beat","_","_","Stream Beat"
768,768,0,15,04,37000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,0000000000000000000000002d000000,ffff,0,0,0,0,70008f710a0900010010a0050001feae,ffff,1,1,0,00001e0f0003,1,1,0,c1e33000,0,0,0,"Active","Active","_","Active","Active","_","Stream Beat","Stream Beat","_","Stream Beat","Stream Beat","_"
769,769,0,15,05,38000000000000000000000000000000,ffff,1,1,0,0000000015000000,ff,00,1,1,0,0000000000000000000000002d000000,ffff,0,1,1,0,00000000000000000000000000001eb4,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
770,770,0,15,06,39000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,0000000000000000000000002e000000,ffff,0,0,0,0,00000000000000000000000037000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
771,771,0,15,04,3a000000000000000000000000000000,ffff,1,1,0,0000000016000000,ff,00,1,1,0,0000000000000000000000002e000000,ffff,0,1,1,0,00000000000000000000000038000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
772,772,0,15,05,3b000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,0000000000000000000000002f000000,ffff,0,0,0,0,00000000000000000000000039000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
773,773,0,15,06,3c000000000000000000000000000000,ffff,1,1,0,0000000017000000,ff,00,1,1,0,0000000000000000000000002f000000,ffff,0,1,1,0,0000000000000000000000003a000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
774,774,0,15,04,3d000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000030000000,ffff,0,0,0,0,0000000000000000000000003b000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
775,775,0,15,05,3e000000000000000000000000000000,ffff,1,1,0,0000000018000000,ff,00,1,1,0,00000000000000000000000030000000,ffff,0,1,1,0,0000000000000000000000003c000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
776,776,0,15,06,3f000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000031000000,ffff,0,0,0,0,0000000000000000000000003d000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
777,777,0,15,04,40000000000000000000000000000000,ffff,1,1,0,0000000019000000,ff,00,1,1,0,00000000000000000000000031000000,ffff,0,1,1,0,0000000000000000000000003e000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
778,778,0,15,05,41000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000032000000,ffff,0,0,0,0,0000000000000000000000003f000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
779,779,0,15,06,42000000000000000000000000000000,ffff,1,1,0,000000001a000000,ff,00,1,1,0,00000000000000000000000032000000,ffff,0,1,1,0,00000000000000000000000040000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
780,780,0,15,04,43000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000033000000,ffff,0,0,0,0,00000000000000000000000041000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
781,781,0,15,05,44000000000000000000000000000000,ffff,1,1,0,000000001b000000,ff,00,1,1,0,00000000000000000000000033000000,ffff,0,1,1,0,00000000000000000000000042000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
782,782,0,15,06,45000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000034000000,ffff,0,0,0,0,00000000000000000000000043000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
783,783,0,15,04,46000000000000000000000000000000,ffff,1,1,0,000000001c000000,ff,00,1,1,0,00000000000000000000000034000000,ffff,0,1,1,0,00000000000000000000000044000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
784,784,0,15,05,47000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000035000000,ffff,0,0,0,0,00000000000000000000000045000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
785,785,0,15,06,48000000000000000000000000000000,ffff,1,1,0,000000001d000000,ff,00,1,1,0,00000000000000000000000035000000,ffff,0,1,1,0,00000000000000000000000046000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
786,786,0,15,04,49000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000036000000,ffff,0,0,0,0,00000000000000000000000047000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
787,787,0,15,05,4a000000000000000000000000000000,ffff,1,1,0,000000001e000000,ff,00,1,1,0,00000000000000000000000036000000,ffff,0,1,1,0,00000000000000000000000048000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
788,788,0,15,06,4b000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000037000000,ffff,0,0,0,0,00000000000000000000000049000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
789,789,0,15,04,4c000000000000000000000000000000,ffff,1,1,0,000000001f000000,ff,00,1,1,0,00000000000000000000000037000000,ffff,0,1,1,0,0000000000000000000000004a000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
790,790,0,15,05,4d000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000038000000,ffff,0,0,0,0,0000000000000000000000004b000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
791,791,0,15,06,4e000000000000000000000000000000,ffff,1,1,0,0000000020000000,ff,00,1,1,0,00000000000000000000000038000000,ffff,0,1,1,0,0000000000000000000000004c000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
792,792,0,15,04,4f000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,00000000000000000000000039000000,ffff,0,0,0,0,0000000000000000000000004d000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
793,793,0,15,05,50000000000000000000000000000000,ffff,1,1,0,0000000021000000,ff,00,1,1,0,00000000000000000000000039000000,ffff,0,1,1,0,0000000000000000000000004e000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
794,794,0,15,06,51000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,0000000000000000000000003a000000,ffff,0,0,0,0,0000000000000000000000004f000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
795,795,0,15,04,52000000000000000000000000000000,ffff,1,1,0,0000000022000000,ff,00,1,1,0,0000000000000000000000003a000000,ffff,0,1,1,0,00000000000000000000000050000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
796,796,0,15,05,53000000000000000000000000000000,ffff,1,1,0,0000000000000000,ff,00,1,1,0,0000000000000000000000003b000000,ffff,0,0,0,0,00000000000000000000000051000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","_","Active","_","_","Stream Beat","Stream Beat","_","Stream Beat","_","_"
797,797,0,15,06,54000000000000000000000000000000,ffff,1,1,0,0000000023000000,ff,00,1,1,0,0000000000000000000000003b000000,ffff,0,1,1,0,00000000000000000000000052000000,ffff,1,1,0,0000cb9cd900,0,0,0,3cb70a90,0,0,0,"Active","Active","Active","Active","_","_","Stream Beat","Stream Beat","Stream Beat","Stream Beat","_","_"
